,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
0,6501,10000024,10780054,2019,226.7,233.97,537.71,340.48,507.42,301423.0
1,6503,10000065,10780096,2019,14.59,18.16,58.84,19.59,93.29,2343.0
2,6504,10005239,10008407,2019,43.84,62.84,114.38,79.72,154.32999999999998,87197.0
3,6505,10780195,10000156,2019,85.8,32.37,150.94,16.21,66.61,38690.0
4,6506,10780203,10010718,2019,42.44,35.36,63.6,10.32,80.13,34679.0
5,6507,20000097,20000048,2019,7.4,13.0,35.07,22.22,68.77,2013.0
6,6508,20000162,20000063,2019,254.53,238.43,550.99,403.18,618.51,307010.0
7,6509,20000246,20000071,2019,2.6,9.74,19.18,19.12,41.27,1871.0
8,6511,20000394,20000253,2019,114.69,128.13,290.88,150.98000000000002,288.86,213941.0
9,6512,20000519,20000261,2019,143.06,151.24,367.1,215.7,394.01,241151.0
10,6514,20001061,20004404,2019,90.28,81.79,172.92999999999998,126.71,224.62,147498.0
11,6515,20001087,20004495,2019,19.76,39.45,53.63,44.97,73.09,16224.0
12,6516,20010047,20001632,2019,60.99,28.7,84.07,12.4,120.55,30762.0
13,6517,30000061,30780092,2019,173.92,207.74,629.7300000000001,327.21000000000004,634.59,183016.0
14,6518,30000079,30780100,2019,140.25,128.3,353.43,279.17,461.63000000000005,170338.0
15,6519,30000087,30780118,2019,194.34,183.42,540.79,309.63,627.27,194983.0
16,6520,30780548,30000194,2019,51.24,21.44,68.63,11.63,76.85,9649.0
17,6521,30781116,30000426,2019,60.73,39.31,122.56,21.3,159.37,23663.0
18,6522,30785430,30785422,2019,37.08,18.8,51.62,7.699999999999999,49.28,10471.0
19,6523,40000093,40780215,2019,67.07,73.14,204.79,68.66999999999999,253.37,86635.0
20,6524,40000135,50002948,2019,19.28,13.9,47.08,38.44,53.18,33829.0
21,6525,40000911,40788879,2019,84.43,106.79,326.57,161.08,250.42,69210.0
22,6526,40780470,40000192,2019,18.84,11.4,18.1,3.3,18.5,5278.0
23,6527,50000090,50006931,2019,50.59,19.2,37.06,5.17,40.05,13403.0
24,6528,50000231,50000116,2019,86.82,64.11,170.76,95.67,135.86,83365.0
25,6529,50000348,50002948,2019,149.9,168.78,343.34,236.03,367.56,147083.0
26,6530,60000478,60780897,2019,121.69,127.51,322.0,207.37,327.61,190133.0
27,6531,60000510,60780954,2019,206.68,177.7,379.81,199.45,477.6,171809.0
28,6532,60000528,60780962,2019,117.47,145.96,182.08,209.01,139.97,179312.0
29,6533,60000544,60780988,2019,208.24,194.12,448.52,316.85,566.99,229230.0
30,6534,60002102,60791761,2019,63.71,64.35,104.77,91.5,164.36,58206.0
31,6535,60021417,60000221,2019,72.66999999999999,34.61,59.25,8.7,60.92,20398.0
32,6537,60780491,60790797,2019,93.28,36.71,107.93,12.04,106.8,35284.0
33,6538,60780517,60000239,2019,118.41,72.62,139.91,41.27,168.06,64331.0
34,6539,60780590,60000270,2019,31.16,13.2,22.2,1.8,26.6,8808.0
35,6540,60780715,60000361,2019,206.16,83.41,156.68,40.69,263.72,63336.0
36,6541,60780723,60004959,2019,68.37,36.08,55.53,18.53,32.45,31896.0
37,6542,60780756,60000403,2019,51.85,24.6,38.3,8.4,67.06,12996.0
38,6543,60780947,60800174,2019,103.95,112.36,183.88,43.1,167.0,189345.0
39,6544,60781200,60000635,2019,79.99000000000001,20.66,31.46,16.130000000000003,52.620000000000005,12439.0
40,6545,60785003,60785011,2019,442.84,352.22,742.81,606.33,995.48,453164.0
41,6546,60785219,60780608,2019,96.38,32.69,50.95,15.85,65.16000000000001,13138.0
42,6547,60788957,60785011,2019,62.57,184.9,115.36,197.64,245.8,48700.0
43,6548,60789195,60785011,2019,280.02,196.46,436.92,400.78,666.99,289076.0
44,6549,60791811,60010808,2019,33.7,45.63,90.16,51.97,155.99,21666.0
45,6550,60794013,60790797,2019,64.5,32.94,68.96,11.63,50.71,16487.0
46,6551,60800166,60780608,2019,89.86,35.71,76.66,18.22,65.36,17867.0
47,6552,70000013,70002878,2019,42.97,57.17,85.64,47.59,86.51,16460.0
48,6553,70000179,70780358,2019,114.68,120.12,258.33,161.31,295.49,198189.0
49,6554,70000195,70780374,2019,4.43,10.64,24.93,12.73,47.5,4805.0
50,6555,70000609,70005566,2019,99.58,99.83,205.65,197.11,219.56,33353.0
51,6556,70780168,70000088,2019,20.67,17.03,28.12,4.04,18.4,6244.0
52,6557,70780424,70000245,2019,99.18,48.86,116.96,24.85,161.93,31972.0
53,6558,80000110,80000037,2019,47.7,65.1,149.47,77.4,208.89,59108.0
54,6559,80000219,80001969,2019,39.48,59.03,82.46,65.23,103.88,102794.0
55,6560,80000425,80000615,2019,192.22,214.94,468.57,368.47,499.71,283237.0
57,6562,90000175,90781774,2019,134.26,163.01,315.53,202.88,369.59,178701.0
58,6563,90000183,90781816,2019,50.12,88.97,281.38000000000005,161.59,270.68,60711.0
59,6564,100000082,100001148,2019,16.9,6.83,14.89,2.69,18.0,3457.0
60,6565,100000090,100000017,2019,267.0,277.79,538.3,376.29,592.03,355848.0
61,6566,100000124,100009075,2019,52.15,19.84,53.93,4.16,54.67,12370.0
62,6567,100000199,100006279,2019,32.34,41.56,86.85,63.59,106.23,17359.0
63,6569,110000023,110780061,2019,215.38,229.59,460.23,338.95,472.13000000000005,231337.0
64,6570,110000056,110780137,2019,133.66,125.69,289.51,158.14,279.68,149716.0
65,6571,110000189,110780707,2019,9.7,17.22,23.25,31.5,49.6,526.0
66,6573,110780228,110000114,2019,66.03999999999999,48.76,166.96,21.06,158.52,49377.0
67,6574,110780483,110000155,2019,76.72,27.55,73.48,8.41,86.58,29937.0
68,6575,120000039,120780044,2019,188.19,185.46,426.27,281.19,393.21,240707.0
69,6576,120000054,120780069,2019,56.01,84.18,123.89,127.14,143.51,74519.0
70,6577,120000070,120780085,2019,25.98,30.3,73.1,69.69999999999999,101.95,41239.0
71,6578,120004569,120004528,2019,69.22,72.32,161.23,125.39,156.27,74762.0
72,6579,120004668,120004619,2019,23.67,32.79,74.19,54.19,126.88,62584.0
73,6580,130000409,130041916,2019,292.64,245.65,570.92,369.59,724.88,324310.0
74,6582,130000565,130781446,2019,111.15,107.91,213.9,117.54,303.26,117800.0
75,6583,130001225,130782634,2019,113.01,131.12,263.76,121.57,320.6,116718.0
76,6584,130001647,130784127,2019,262.78000000000003,254.32,400.41,384.04,223.5,249072.0
77,6585,130002215,130785512,2019,40.39,56.03,94.73,100.97,134.57,63349.0
78,6586,130002827,130789274,2019,98.03,132.68,286.45,233.74,316.27,168085.0
