,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
0,2233,10000024,10780054,2015,225.72,234.19,519.36,329.23,485.53,249771.0
1,2235,10000065,10780096,2015,19.02,19.97,60.44,20.57,122.11,2104.0
2,2236,10005239,10008407,2015,54.44,58.75,114.29,74.35,172.01,23230.0
3,2237,10780195,10000156,2015,65.31,34.86,120.47,18.67,69.36,33671.0
4,2238,10780203,10010718,2015,45.88,44.33,69.24,16.63,84.45,26974.0
5,2239,20000097,20000048,2015,8.2,16.72,28.33,23.86,60.05,3917.0
6,2240,20000162,20000063,2015,234.48,237.38,563.91,394.32,643.54,338917.0
7,2241,20000246,20000071,2015,4.94,9.47,14.71,17.05,30.9,2730.0
8,2242,20000394,20000253,2015,101.06,124.36,279.13,155.28,264.55,199795.0
9,2243,20000519,20000261,2015,159.17000000000002,156.07,402.04,198.53,425.1,324775.0
10,2245,20001061,20004404,2015,85.47,82.29,173.69000000000003,122.64,225.51,131971.0
11,2246,20001087,20004495,2015,20.55,39.1,54.35,45.86,71.27000000000001,41853.0
12,2247,20010047,20001632,2015,55.7,33.0,88.65,13.7,143.82,25380.0
13,2248,30000061,30780092,2015,170.08,214.27,638.5,326.33,652.14,250110.0
14,2249,30000079,30780100,2015,138.48,131.19,346.45,296.39,473.41,179373.0
15,2250,30000087,30780118,2015,182.92,192.98,591.1700000000001,308.43,678.49,156993.0
16,2251,30780548,30000194,2015,39.37,15.41,47.15,5.9,56.1,7303.0
17,2252,30781116,30000426,2015,73.67,41.54,136.1,20.8,168.5,24231.0
18,2253,30785430,30785422,2015,34.620000000000005,18.38,42.28,6.4,46.81,10069.0
19,2254,40000093,40780215,2015,70.45,71.95,186.05,67.17,243.38,132242.0
20,2255,40000135,50002948,2015,20.38,15.12,52.47,42.14,55.84,30169.0
21,2256,40000911,40788879,2015,71.32,109.54,317.57,170.58999999999995,281.69,121154.0
22,2257,40780470,40000192,2015,17.84,11.4,18.2,2.5,18.0,5707.0
23,2258,50000090,50006931,2015,48.15,21.91,49.37,6.35,56.8,12176.0
24,2259,50000231,50000116,2015,58.23,67.79,166.04999999999998,100.4,135.43,79111.0
25,2260,50000348,50002948,2015,137.07999999999998,171.24,341.88,225.58,391.65,197759.0
26,2261,60000478,60780897,2015,132.72,141.04,339.04,196.87,388.93,161402.0
27,2262,60000510,60780954,2015,153.71,171.6,398.25,183.82,455.08,148549.0
28,2263,60000528,60780962,2015,89.74,148.18,159.74,168.07,112.65,135775.0
29,2264,60000544,60780988,2015,185.18,183.07,466.12000000000006,306.67,593.73,369729.0
30,2265,60002102,60791761,2015,38.58,39.38,78.95,50.54,73.67,25949.0
31,2266,60021417,60000221,2015,69.99,20.67,55.35,10.52,50.92,15933.0
32,2268,60780491,60790797,2015,95.89,36.62,97.68,7.859999999999999,94.24,33088.0
33,2269,60780517,60000239,2015,88.19,53.31,92.41,32.93,133.77,59259.0
34,2270,60780590,60000270,2015,27.2,12.74,22.87,2.97,25.19,7960.0
35,2272,60780715,60000361,2015,195.19,63.4,142.48,65.1,259.3,59350.0
36,2273,60780723,60004959,2015,69.08999999999999,31.84,53.59,20.73,52.74,32931.0
37,2274,60780756,60000403,2015,50.67,24.0,33.52,8.129999999999999,75.64,11059.0
38,2275,60780947,60800174,2015,102.1,126.8,175.4,40.3,163.2,172271.0
39,2276,60781200,60000635,2015,74.27,21.84,36.1,13.5,68.25,11929.0
40,2277,60785003,60785011,2015,325.73,335.33,677.53,643.02,915.16,348290.0
41,2278,60785219,60001468,2015,97.56,32.66,47.67,20.6,64.99000000000001,12816.0
42,2279,60788957,60785011,2015,62.5,257.91,128.69,197.81,264.82,19627.0
