,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
4289,890975568,890000433,2016,20.3,50.35,66.92,72.48,125.65,32219.0
4292,910000272,910110014,2016,82.28999999999999,75.92,196.82,97.4,227.67,109309.0
4293,910000280,910019447,2016,44.82,47.71,99.48,83.47,109.02,22875.0
4294,910000298,910110055,2016,181.33,177.53,357.65000000000003,230.31,384.47,204415.0
4295,910000306,910110063,2016,95.34,104.14,215.99,131.41,229.86,112081.0
4296,910001973,910019447,2016,94.32,77.27,150.95,80.0,225.71,29225.0
4297,910018423,910110055,2016,41.900000000000006,24.55,79.85,26.11,93.5,49710.0
4298,910020254,910002773,2016,456.97,344.72,940.28,399.32,1046.57,318441.0
4299,910100015,750712184,2016,26.71,45.65,110.42,103.09,415.84,4871.0
4300,910100023,750712184,2016,47.35,83.55,148.21,170.78,540.15,8471.0
4301,910150028,750811184,2016,67.46,94.59,211.39,97.62,238.63,40767.0
4302,910150069,910000033,2016,28.410000000000004,39.57,71.17999999999999,39.21,159.69,4575.0
4303,910300011,910000348,2016,41.5,18.75,27.1,3.0,25.53,13249.0
4304,910300029,910000355,2016,4.23,13.8,19.0,5.0,46.8,983.0
4305,910300144,910000447,2016,71.0,45.79,104.28,10.44,124.63,57311.0
4306,910300177,910000462,2016,52.46,51.97,76.03999999999999,10.75,67.18,17771.0
4307,910300219,910003888,2016,142.35,104.54,314.4,53.15,168.82,57628.0
4308,910300300,910000538,2016,30.6,34.1,60.9,12.5,68.9,15282.0
4310,910803543,910017615,2016,74.0,60.67,193.33,18.93,160.49,74429.0
4311,910805357,910001643,2016,69.58,23.0,32.0,2.3,45.5,12449.0
4312,920000460,750813321,2016,86.59,125.84,145.77,202.63,81.37,172846.0
4313,920000569,920026374,2016,23.32,13.96,48.65,11.09,103.37,17297.0
4314,920000577,920110020,2016,123.46,152.3,231.29,155.87,383.66,150615.0
4315,920000585,920026374,2016,91.78,86.61,140.39,102.65,221.35,120227.0
4316,920000619,920009909,2016,82.88,89.81,141.2,94.17,326.13,132007.0
4317,920000627,920009909,2016,23.95,33.13,59.11,22.91,104.53,7271.0
4319,920000643,920150034,2016,83.82000000000001,111.88,173.0,46.73,215.73,172041.0
4320,920000650,920150059,2016,350.1,368.67,637.1199999999999,281.41,447.24,517464.0
4321,920000684,920150091,2016,96.86,140.07,295.82,133.24,234.9,63384.0
4322,920100013,750712184,2016,287.76,228.07,516.0699999999999,315.79,516.68,352572.0
4323,920100021,750712184,2016,280.42,210.54,570.93,236.69,608.49,742386.0
4324,920100039,750712184,2016,305.24,244.66,627.65,321.18,691.23,174857.0
4325,920100047,750712184,2016,260.56,167.19,511.57,215.27,568.24,186339.0
4326,920100054,750712184,2016,188.17,223.09,370.78,224.58,573.02,16889.0
4328,920120011,750821092,2016,183.38,191.79,349.41,187.82,315.18,224141.0
4329,920300043,920001526,2016,191.78,135.93,300.61,39.4,321.24,137077.0
4330,920300191,920000767,2016,73.96000000000001,19.0,23.92,4.1,14.64,10367.0
4331,920300365,920815388,2016,56.91,18.8,30.16,4.6,34.22,10472.0
4332,920300415,920000890,2016,54.12,24.14,60.24,13.76,55.77,29991.0
4333,920300597,920000940,2016,76.43,36.79,60.07,9.11,72.95,28493.0
4334,920300753,920810736,2016,130.96,51.57,126.46,38.19,136.68,23983.0
4335,920300761,920000973,2016,123.9,18.88,50.9,8.93,58.75,21377.0
4336,920300787,920000981,2016,229.41,319.68,238.63,303.85,121.39,24791.0
4338,920300845,780020715,2016,6.430000000000001,10.11,31.93,5.17,45.82,606.0
4339,920300936,920006848,2016,61.81,28.42,42.35,5.0,76.71000000000001,6286.0
4340,930000286,930021480,2016,269.37,240.59,430.53,311.11,505.12,278105.0
4341,930000302,930110036,2016,197.78,172.36,387.19,162.84,490.02,188265.0
4342,930000328,930110051,2016,282.39,232.43,464.4,322.73,644.86,271471.0
4343,930000336,930110069,2016,371.08,277.22,577.66,346.31,714.55,113316.0
4344,930100011,750712184,2016,47.74,48.86,153.05,106.1,452.98,7975.0
4345,930100037,750712184,2016,366.84,372.36,625.21,351.83000000000004,710.21,512203.0
4346,930100045,750712184,2016,209.7,160.37,360.96,190.89,403.23,273266.0
4347,930300025,930000393,2016,75.94999999999999,76.2,130.38,51.13,91.95,67236.0
4348,930300066,930000401,2016,69.39,54.64,103.99,12.78,71.63,73330.0
4349,930300082,930000419,2016,58.83,41.0,48.9,14.0,25.5,31839.0
4350,930300116,930000427,2016,58.81,38.9,89.73,19.66,126.95,44826.0
4351,930300264,930000492,2016,34.93,23.0,33.5,13.75,31.0,6117.0
4352,930300298,930025523,2016,46.79,23.8,32.6,5.0,67.7,12767.0
4353,930300553,930000633,2016,72.7,63.71,126.45,26.14,168.18,51406.0
4354,930300587,930000641,2016,40.79,25.02,41.64,10.21,31.16,26798.0
4355,930300595,930000658,2016,53.35999999999999,69.13,107.01,20.36,129.67,61608.0
4357,930300645,930000682,2016,92.57,71.62,129.23,12.71,126.4,15015.0
4358,930706239,930110051,2016,14.63,6.75,61.83,13.93,169.51000000000002,6559.0
4359,940000573,940110018,2016,347.95,240.3,618.5,377.5,729.49,880078.0
4360,940000599,940110042,2016,245.29,209.05,472.08,231.51,554.3000000000001,84241.0
4361,940000649,940150014,2016,164.9,127.07,248.55,88.03999999999999,246.28,207039.0
4362,940000656,940160013,2016,10.3,17.69,50.7,47.52,46.18999999999999,7886.0
4363,940000664,940160013,2016,371.25,505.73,602.06,508.27,262.51,121891.0
4364,940006679,940017338,2016,69.46,34.9,75.83,7.710000000000001,90.17,29568.0
4365,940016868,940016819,2016,138.13,199.77,324.43,292.38,668.59,77172.0
4366,940100027,750712184,2016,821.1300000000001,719.28,1440.56,826.64,1543.2,870356.0
4367,940100035,750712184,2016,76.77,81.37,236.3,144.67,500.63,27779.0
4369,940100050,750712184,2016,70.66,111.22,245.43,191.74,887.08,16321.0
4370,940100068,750712184,2016,174.07,165.67,449.73,330.56,641.47,124460.0
4371,940120017,750821092,2016,131.15,199.38,279.79,166.31,289.74,221122.0
4372,940300031,940000706,2016,98.7,11.8,99.4,13.5,74.56,67269.0
4375,940300379,940000805,2016,76.43,23.13,43.31999999999999,8.4,55.69,9696.0
4376,940300445,940000854,2016,37.04,27.57,61.77,5.83,51.34,38297.0
4377,940300452,940000862,2016,20.45,32.85,11.5,11.88,22.01,2393.0
4378,940300494,940000896,2016,22.91,31.29,70.33,6.86,25.29,39543.0
4379,940300551,940000912,2016,24.89,15.0,19.0,10.05,33.5,4366.0
4380,940300569,940000912,2016,45.65,34.6,56.0,14.5,54.7,37452.0
4381,940813033,940001894,2016,62.96,19.11,37.19,5.14,24.48,14639.0
4382,950000307,950110015,2016,346.32,259.39,614.16,353.94,757.62,309497.0
4383,950000315,950001370,2016,102.49,118.99,261.86,174.9,281.73,195084.0
4384,950000323,950013870,2016,317.63,234.51,586.22,334.89,629.32,379217.0
4385,950000331,950110049,2016,269.62,249.56,558.66,427.51,729.49,310832.0
4386,950000364,950110080,2016,415.01,378.68,964.2,445.14,1050.94,564344.0
4387,950300095,950000455,2016,27.8,19.47,50.86,3.78,24.93,27938.0
4388,950300202,950000521,2016,72.81,41.88,52.16,3.81,53.19,15771.0
4389,950300244,950000539,2016,73.44,42.62,117.09,25.42,71.83,61060.0
4390,950300277,950000547,2016,101.82,74.5,123.68,24.37,124.28,73247.0
4391,950807982,950001636,2016,122.33,65.31,137.65,14.89,129.89,60849.0
