,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
0,1126,10000024,10780054,2014,216.98,228.99,495.69,327.85,483.22,89211.0
1,1128,10000065,10780096,2014,16.509999999999998,19.31,61.8,18.770000000000003,122.13,1948.0
2,1129,10005239,10008407,2014,52.7,58.13,116.17,71.4,177.3,21790.0
3,1130,10780195,10000156,2014,66.23,34.65,121.03,18.63,68.75,34752.0
4,1131,10780203,10006450,2014,43.75,58.77,69.79,23.23,89.43,26339.0
5,1132,20000097,20000048,2014,8.6,19.06,26.5,22.86,66.14,4183.0
6,1133,20000162,20000063,2014,228.5,236.2,565.04,393.66,652.94,273507.0
7,1134,20000246,20000071,2014,4.44,9.63,14.91,16.76,31.14,536.0
8,1135,20000394,20000253,2014,105.75,131.95,281.53,159.64,274.31,123895.0
9,1136,20000519,20000261,2014,150.42,153.7,388.63,195.23,401.58,218506.0
10,1137,20001061,20004404,2014,81.84,86.04,176.86999999999998,122.33,228.77,86309.0
11,1138,20001087,20004495,2014,25.25,40.35,50.7,40.6,79.6,10654.0
12,1139,20010047,20001632,2014,54.13,32.0,85.4,13.7,134.82,28589.0
13,1140,30000061,30780092,2014,164.59000000000003,216.07,646.14,328.37,649.87,136492.0
14,1141,30000079,30780100,2014,119.17,134.33,339.66,295.91,481.28,164871.0
15,1142,30000087,30780118,2014,179.70999999999998,197.85,581.22,311.78,670.64,146724.0
16,1143,30780548,30000194,2014,38.61,16.23,47.98,6.75,60.08,7709.0
17,1144,30781116,30000426,2014,78.33999999999999,45.0,130.0,19.3,162.7,27106.0
18,1145,30785430,30785422,2014,32.32,19.09,41.33,5.99,46.24,9733.0
19,1146,40000093,40780215,2014,73.05,68.93,177.01,72.28999999999999,228.93,96600.0
20,1147,40000135,50002948,2014,22.48,20.07,54.56,45.45,59.55,44701.0
21,1148,40000911,40788879,2014,64.59,116.98,330.51,187.11,322.51,57466.0
22,1149,40780470,40000192,2014,17.42,10.9,17.7,2.5,19.5,5522.0
23,1150,50000090,50006931,2014,45.0,25.9,48.63,5.42,60.67,12298.0
24,1151,50000231,50000116,2014,64.7,71.66,184.08,102.91,147.88,46220.0
25,1152,50000348,50002948,2014,127.09,167.54,327.38,220.04,392.38,170801.0
26,1153,60000478,60780897,2014,129.72,140.92,328.19,197.9,343.29,152728.0
27,1154,60000510,60780954,2014,150.92000000000002,172.73,406.31,189.93,463.49,140666.0
28,1155,60000528,60780962,2014,89.74,148.18,159.74,168.07,112.65,115807.0
29,1156,60000544,60780988,2014,175.57000000000002,183.57,467.15,312.07,602.74,267861.0
30,1158,60002102,60791761,2014,41.28,40.43,76.64,47.06,64.74,19209.0
31,1159,60021417,60000221,2014,68.8,18.95,54.11,10.53,53.010000000000005,15426.0
32,1161,60780491,60790797,2014,93.03,37.93,109.46,7.43,97.37,32404.0
33,1162,60780517,60000239,2014,88.19,53.31,92.41,32.93,133.77,57814.0
34,1163,60780590,60000270,2014,26.62,13.92,24.2,3.4,26.74,7687.0
35,1165,60780715,60000361,2014,199.57,71.5,153.70000000000002,60.5,266.4,59667.0
36,1166,60780723,60004959,2014,70.97,34.41,54.23,20.68,55.6,31932.0
37,1167,60780756,60000403,2014,49.04,22.5,35.42,8.67,75.24,11315.0
38,1168,60780947,60800174,2014,107.66,115.61,176.44,43.870000000000005,164.87,155556.0
39,1169,60781200,60000635,2014,75.69999999999999,21.34,36.1,13.5,68.25,11453.0
40,1170,60785003,60785011,2014,192.33,191.3,323.82,534.13,444.82,142551.0
41,1171,60785219,60001468,2014,95.08,28.12,47.64,21.63,60.56,12231.0
42,1172,60788957,60785011,2014,67.82,250.39,128.67999999999998,179.75,255.92,11517.0
43,1173,60789195,60785011,2014,330.51,247.53,580.33,401.86,849.86,246358.0
44,1174,60791811,750826638,2014,25.5,40.88,74.43,45.7,134.86,3392.0
45,1175,60794013,60790797,2014,64.16,34.01,73.55,9.84,51.31,16670.0
46,1176,60800166,60780608,2014,88.12,33.92,82.64999999999999,19.88,60.75,15739.0
47,1177,70000013,70002878,2014,49.55,69.15,115.32,71.64,117.78,57316.0
48,1178,70000179,70780358,2014,100.26,96.22,249.14,126.32999999999998,262.11,125037.0
49,1179,70000195,70780374,2014,5.49,11.77,24.45,21.880000000000003,45.29,1463.0
50,1180,70000609,70005566,2014,90.44,95.18,192.9,196.38,183.98,143002.0
51,1181,70780168,70000088,2014,17.369999999999997,16.23,28.16,2.09,19.6,5754.0
52,1183,70780424,70000245,2014,81.62,52.6,128.08,19.57,172.67,28851.0
53,1184,80000110,80000037,2014,59.7,75.37,183.12,95.42,210.52,67215.0
54,1185,80000219,80001969,2014,23.64,37.7,70.86,40.64,74.41,38795.0
55,1186,80000425,80000615,2014,182.98,212.11,471.19,378.44,513.6,160155.0
57,1188,90000175,90781774,2014,131.87,146.83,310.4,184.78,343.15000000000003,152564.0
58,1189,90000183,90781816,2014,59.01,82.91,267.67,153.46,261.44,32751.0
59,1190,100000082,100001148,2014,19.06,9.0,15.81,1.73,21.0,4390.0
60,1191,100000090,100000017,2014,235.83,238.33,534.27,362.51,597.07,232191.0
61,1192,100000124,100009075,2014,32.88,17.2,50.37,3.3,62.95,8311.0
62,1194,100000199,100006279,2014,31.05,43.6,61.96,57.48,82.56,25854.0
63,1196,110000023,110780061,2014,188.89,222.42,453.18,372.07,493.38,145621.0
64,1197,110000056,110780137,2014,123.7,132.11,286.0,156.16,279.01000000000005,118700.0
65,1198,110000189,110780707,2014,21.84,16.3,27.0,29.5,54.2,630.0
66,1200,110780228,110000114,2014,72.6,54.55,148.25,30.32,156.63,53239.0
67,1201,110780483,110000155,2014,54.53,29.33,78.05,9.15,84.4,32319.0
68,1202,120000039,120780044,2014,165.31,170.09,439.49,280.6,477.18,149613.0
69,1203,120000054,120780069,2014,54.31999999999999,78.53,112.53,127.09,149.56,58545.0
70,1204,120000070,120780085,2014,31.05,33.1,77.89999999999999,64.84,112.0,10274.0
71,1205,120004569,120004528,2014,58.9,81.64,164.39,138.74,173.44,48288.0
72,1206,120004668,120004619,2014,28.66,32.88,73.16,50.94,137.55,32393.0
73,1207,130000409,130041916,2014,265.77,256.26,555.85,359.93,693.49,337202.0
74,1208,130000565,130781446,2014,97.76,105.94,204.91,116.53,285.04,118116.0
75,1209,130001225,130782634,2014,115.96,129.46,267.31,122.85,327.91,40070.0
76,1210,130001647,130784127,2014,195.3,224.49,343.34000000000003,308.44,183.16,152067.0
77,1211,130002215,130785512,2014,38.75,55.27,91.37,89.1,107.04,51456.0
78,1212,130002827,130789274,2014,114.44,130.61,288.6,250.38,337.39,109033.0
79,1213,130002835,130789316,2014,146.51999999999998,178.18,290.98,232.91,336.1,111099.0
81,1215,130037922,130037823,2014,70.16,29.0,115.2,10.0,69.96,12579.0
82,1217,130042096,130042062,2014,0.5,2.3,25.0,3.97,11.0,3025.0
83,1218,130043664,130002157,2014,175.79999999999998,154.48,343.53,45.84,327.67,254706.0
84,1219,130780521,130786049,2014,464.53,377.74,1201.55,686.04,1120.8,507072.0
