,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
0,5454,10000024,10780054,2018,228.72,226.08,523.74,340.57,498.13,284017.0
1,5456,10000065,10780096,2018,21.09,17.95,59.7,19.24,93.47,2244.0
2,5457,10005239,10008407,2018,46.95,63.14,126.38,82.18,175.36,94800.0
3,5458,10780195,10000156,2018,74.05,35.26,139.41,20.57,69.54,36984.0
4,5459,10780203,10010718,2018,39.370000000000005,34.85,67.69999999999999,13.61,82.39,34319.0
5,5460,20000097,20000048,2018,7.03,16.01,35.27,19.72,67.67,2350.0
6,5461,20000162,20000063,2018,241.03,240.16,542.99,391.25,613.26,294165.0
7,5462,20000246,20000071,2018,2.8,9.28,16.86,19.58,38.3,1718.0
8,5464,20000394,20000253,2018,111.93,140.17,311.39,168.39999999999998,357.09,44612.0
9,5465,20000519,20000261,2018,143.32999999999998,155.06,363.23,213.47000000000003,377.15,239951.0
10,5467,20001061,20004404,2018,94.71,79.53,171.8,130.97,225.36,115832.0
11,5468,20001087,20004495,2018,22.53,37.28,51.31,43.72,70.27,14902.0
12,5469,20010047,20001632,2018,57.42999999999999,29.0,76.5,12.4,126.89,30513.0
13,5470,30000061,30780092,2018,168.07,202.7,626.45,331.49,641.0,205177.0
14,5471,30000079,30780100,2018,143.73999999999998,126.22,351.19000000000005,287.41,460.28,175448.0
15,5472,30000087,30780118,2018,191.75,182.26,543.48,310.06,634.02,193483.0
16,5473,30780548,30000194,2018,47.4,24.21,44.14,11.670000000000002,59.13,8062.0
17,5474,30781116,30000426,2018,66.6,42.59,118.1,18.8,146.69,25900.0
18,5475,30785430,30785422,2018,33.44,21.37,48.09,7.26,46.87,10477.0
19,5476,40000093,40780215,2018,65.38,73.24,205.07,65.55,257.11,80785.0
20,5477,40000135,50002948,2018,21.84,13.87,47.1,37.04,53.03,45209.0
21,5478,40000911,40788879,2018,82.71000000000001,109.32,330.53000000000003,166.45,241.67,67846.0
22,5479,40780470,40000192,2018,19.17,11.21,19.7,2.5,16.5,6126.0
23,5480,50000090,50006931,2018,50.59,19.45,37.06,5.17,40.05,12824.0
24,5481,50000231,50000116,2018,85.49000000000001,65.91,174.2,99.17,139.87,82881.0
25,5482,50000348,50002948,2018,143.71,172.52,346.62,240.23,376.44,143798.0
26,5483,60000478,60780897,2018,140.55,130.71,320.39,207.69,327.76,179661.0
27,5484,60000510,60780954,2018,169.19,176.92,411.62,199.25,482.03,174140.0
28,5485,60000528,60780962,2018,105.72,144.81,180.53,213.68,144.99,179656.0
29,5486,60000544,60780988,2018,191.7,186.48,457.80000000000007,326.07,583.35,211525.0
30,5487,60002102,60791761,2018,56.42,65.12,111.54,86.08,162.72,57080.0
31,5488,60021417,60000221,2018,72.66999999999999,34.61,59.25,8.7,60.92,19005.0
32,5490,60780491,60790797,2018,89.95,36.51,104.82,12.64,105.2,34835.0
33,5491,60780517,60000239,2018,109.6,69.05,129.99,38.06,157.41,63630.0
34,5492,60780590,60000270,2018,31.6,12.4,21.88,3.79,28.65,8760.0
35,5493,60780715,60000361,2018,202.28,75.85,137.33,40.33,256.85,62603.0
36,5494,60780723,60004959,2018,66.2,35.42,55.0,19.3,36.65,30266.0
37,5495,60780756,60000403,2018,52.55,23.85,39.46,9.72,76.84,12545.0
38,5496,60780947,60800174,2018,101.79,113.71,183.04,42.02,163.9,195030.0
39,5497,60781200,60000635,2018,74.33999999999999,23.48,32.44,16.130000000000003,57.96,11077.0
40,5498,60785003,60785011,2018,443.08,336.45,675.46,613.79,957.65,492901.0
41,5499,60785219,60780608,2018,96.85,29.79,50.37,13.64,62.32,12959.0
42,5500,60788957,60785011,2018,59.33,203.68,116.81,200.35,243.09,48477.0
43,5501,60789195,60785011,2018,276.78000000000003,195.42,423.9,391.39,675.88,292833.0
44,5502,60791811,60010808,2018,34.06,43.86,83.84,49.2,146.38,7548.0
45,5503,60794013,60790797,2018,54.57,34.25,71.36,12.34,52.33,16597.0
46,5504,60800166,60780608,2018,90.36,37.0,77.61999999999999,18.0,68.26,17058.0
47,5505,70000013,70002878,2018,45.0,73.5,110.06,78.72999999999999,111.75,17695.0
48,5506,70000179,70780358,2018,110.64,115.86,259.06,159.07,295.18,191404.0
49,5507,70000195,70780374,2018,6.02,14.11,24.75,22.82,48.05,5441.0
50,5508,70000609,70005566,2018,89.21,102.19,207.15,196.94,217.3,29732.0
51,5509,70780168,70000088,2018,19.95,16.34,28.35,4.49,18.83,6004.0
52,5510,70780424,70000245,2018,83.4,47.99,109.69,22.75,148.66,32370.0
53,5511,80000110,80000037,2018,47.7,59.78,137.92,77.34,197.16,58580.0
54,5512,80000219,80001969,2018,40.95,46.87,74.16,43.2,76.53999999999999,92126.0
55,5513,80000425,80000615,2018,194.07,211.59,462.29,369.84,495.72,258921.0
57,5515,90000175,90781774,2018,134.85,158.16,312.59,200.28,365.22,176756.0
58,5516,90000183,90781816,2018,54.870000000000005,85.69,275.21,156.44,264.57,70202.0
59,5517,100000082,100001148,2018,16.619999999999997,9.04,15.18,1.86,17.64,3820.0
60,5518,100000090,100000017,2018,260.72,262.12,550.02,379.38,626.47,329748.0
61,5519,100000124,100009075,2018,35.87,18.23,46.98,3.28,53.19,9030.0
62,5521,100000199,100006279,2018,32.34,49.34,87.55,63.44,109.89,30762.0
63,5523,110000023,110780061,2018,206.89,232.09,461.77,335.63,487.65,225989.0
64,5524,110000056,110780137,2018,130.66,134.08,288.82,163.5,285.95,134129.0
65,5525,110000189,110780707,2018,9.3,18.12,21.5,34.0,51.24,548.0
66,5526,110780228,110000114,2018,68.99,48.27,173.66,18.57,157.41,53774.0
67,5527,110780483,110000155,2018,83.88000000000001,30.21,76.39,8.32,81.76,31070.0
68,5528,120000039,120780044,2018,180.01,193.5,436.87,273.53,392.06,233658.0
69,5529,120000054,120780069,2018,56.46,84.94,142.1,128.8,153.99,75490.0
70,5530,120000070,120780085,2018,31.23,31.3,72.1,71.72,116.5,36509.0
71,5531,120004569,120004528,2018,71.69999999999999,75.57,171.8,124.98,176.39,67359.0
72,5532,120004668,120004619,2018,24.880000000000003,33.7,74.73,53.03999999999999,129.68,76507.0
73,5533,130000409,130041916,2018,292.96000000000004,250.64,592.14,387.93,749.89,323104.0
74,5535,130000565,130781446,2018,109.26,108.8,208.17,115.39,296.83,121101.0
75,5536,130001225,130782634,2018,113.75,132.28,261.62,125.49,322.04,119344.0
76,5537,130001647,130784127,2018,242.88,244.87,380.27,368.1,213.37,233603.0
77,5538,130002215,130785512,2018,43.36,57.57,108.33,106.98,214.86,54498.0
78,5539,130002827,130789274,2018,102.91,136.63,289.13,232.99,324.17,172861.0
79,5540,130002835,130789316,2018,153.35,174.02,287.24,213.84,344.84,241871.0
81,5542,130037922,130037823,2018,61.19,21.19,91.48,6.510000000000001,51.09,8744.0
82,5544,130042096,130042062,2018,15.75,3.0,28.0,4.92,13.0,3437.0
83,5545,130043664,130002157,2018,229.05,174.53,377.28,44.24,378.89,78860.0
84,5546,130780521,130786049,2018,499.12,336.09,1123.22,690.19,1081.56,499780.0
85,5549,130781370,130000532,2018,23.95,16.91,31.48,6.6,34.480000000000004,7478.0
86,5550,130781479,130000599,2018,242.98,84.18,232.06,43.73,107.37,31983.0
88,5552,130782071,130002454,2018,49.74,32.9,62.52,22.06,67.96000000000001,22088.0
89,5553,130782147,130000979,2018,95.46,36.19,89.11,12.11,42.73,83261.0
90,5554,130782162,130000987,2018,45.62,23.55,40.15,9.46,18.3,8062.0
91,5555,130783236,130786049,2018,362.59,255.28,943.28,517.45,710.5699999999999,325694.0
92,5556,130783293,130786049,2018,795.6500000000001,599.36,1499.28,1377.6799999999998,1247.28,558694.0
93,5557,130783327,130001415,2018,96.6,54.06,142.43,26.89,151.87,43052.0
94,5558,130783665,130043722,2018,43.76,25.7,43.73,22.2,35.629999999999995,88447.0
95,5559,130783723,130001456,2018,80.28,33.22,71.76,22.37,27.27,21953.0
96,5560,130784051,130037823,2018,130.14,60.03,254.79,29.750000000000004,213.14,29802.0
97,5561,130784234,130786049,2018,223.89,132.63,363.28,203.99,315.86,145442.0
