,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
705,5197,750301160,750001067,2017,47.19,21.49,40.32,6.63,33.760000000000005,6445.0
706,5198,750801441,750712184,2017,47.3,46.34,157.55,101.99,469.81,8435.0
707,5199,750803447,750712184,2017,608.64,522.19,1094.26,546.98,835.0,425655.0
708,5200,750803454,750712184,2017,433.22,333.11,805.97,393.63,753.64,436151.0
709,5201,760000018,760780023,2017,179.08,143.02,427.06,169.93,451.53,184435.0
710,5202,760000141,760780239,2017,29.29,25.43,112.14,42.540000000000006,231.72,69027.0
711,5204,760000166,760780247,2017,114.67,108.99,170.52,158.72000000000003,117.07,68594.0
712,5205,760000182,760780262,2017,38.0,32.49,47.39,16.450000000000003,201.05,66875.0
713,5206,760000364,760780734,2017,52.61,59.33,126.51,105.72,178.01000000000002,66905.0
714,5207,760000372,760780742,2017,35.39,45.85,83.03,69.9,112.87,49914.0
715,5208,760000463,760024042,2017,189.0,185.0,391.61,227.1,411.48,198943.0
716,5209,760021329,760000448,2017,107.97,61.11,236.99,34.84,153.26,86038.0
717,5210,760025312,760000315,2017,138.76,53.88,158.22,35.29,193.17,36522.0
718,5211,760027292,760027300,2017,44.0,14.79,44.24,4.0,59.02,9123.0
719,5212,760780205,760000125,2017,34.27,6.55,22.35,6.25,13.59,3596.0
720,5213,760780510,760000257,2017,67.42,40.2,100.88,18.66,102.82,32682.0
721,5214,760780619,760000307,2017,78.36,37.0,155.18,29.97,149.21,31740.0
723,5216,760780791,760000414,2017,63.34,46.99,94.83,30.29,94.06,44179.0
724,5217,760780825,760000430,2017,12.6,13.23,25.05,7.8,25.89,4828.0
725,5218,760783522,760780239,2017,95.66,54.4,239.45,203.19,371.8,84853.0
726,5219,760805770,760780726,2017,331.22,288.78,887.35,592.11,852.86,377690.0
727,5220,760921809,760000273,2017,105.93,51.93,134.35,18.82,128.16,77855.0
728,5221,770000131,770021145,2017,99.74,99.93,276.59000000000003,159.18,314.61,120524.0
729,5222,770000149,770021152,2017,109.54,140.52,247.66,148.78,267.42,132553.0
730,5223,770000156,770110054,2017,271.44,221.18,503.18,237.77,611.48,169286.0
731,5224,770000164,770021152,2017,81.5,74.36,202.79,100.7,296.76,114429.0
732,5225,770000172,770110070,2017,109.33,133.56,251.31,121.78,327.92,105352.0
733,5226,770000180,770110054,2017,8.52,10.43,17.75,13.07,39.57,481.0
734,5227,770000214,770021152,2017,52.19,49.79,172.01,78.83,229.38,47001.0
735,5228,770000446,770021145,2017,266.82,244.75,658.85,332.93,650.64,282911.0
736,5229,770019032,770021145,2017,303.05,182.99,581.18,308.67,613.82,243669.0
737,5231,770300010,770004299,2017,44.1,42.0,73.0,9.0,69.65,36348.0
738,5232,770300135,770000289,2017,39.17,29.25,56.91,8.61,54.7,35619.0
739,5233,770300143,770000362,2017,33.85,35.5,64.64,20.630000000000003,44.06,12727.0
740,5234,770300275,770000289,2017,39.49,12.91,27.61,2.9,29.73,9935.0
741,5236,770790707,770000719,2017,43.78,22.56,60.3,10.32,74.58,36188.0
742,5237,770813400,770001014,2017,38.69,17.39,48.88,5.140000000000001,48.87,11915.0
743,5238,780000287,780110011,2017,193.48,161.85,497.88,270.96,494.61,238232.0
744,5239,780000295,780002697,2017,82.87,110.31,180.44,177.81,232.8,79406.0
745,5240,780000303,780110037,2017,8.629999999999999,38.46,68.53,74.42999999999999,186.05,2368.0
746,5241,780000311,780001236,2017,286.35,230.67,657.02,263.40000000000003,824.6,244759.0
747,5242,780000329,780110052,2017,128.66,128.13,240.39,120.5,279.62,134389.0
748,5243,780000337,780001236,2017,97.59,102.85,202.59,204.13,233.74,123196.0
749,5244,780018727,780018719,2017,48.02,24.6,47.0,2.0,60.82,18562.0
750,5247,780150066,780808614,2017,33.040000000000006,33.25,88.12,43.6,170.36,4075.0
751,5248,780300075,780000485,2017,24.41,17.0,53.14,50.5,44.36000000000001,3957.0
752,5249,780300125,780000535,2017,29.34,19.5,39.9,3.0,54.8,10006.0
753,5250,780300208,780000576,2017,42.57,30.4,40.58,7.5,54.25,10948.0
754,5251,780300323,780003679,2017,80.52999999999999,26.07,73.78,13.989999999999998,76.34,37147.0
755,5252,780300406,780018032,2017,105.83,46.38,146.71,27.79,102.12,33023.0
756,5253,780300414,780000675,2017,85.19,46.3,157.8,21.6,124.9,53227.0
758,5255,780300455,780000717,2017,43.92,43.0,34.39,25.2,24.53,24742.0
759,5256,780800256,780110078,2017,466.9,336.15,739.6400000000001,401.47,793.16,360591.0
760,5257,790000087,790000012,2017,336.95000000000005,314.57,927.38,476.56,916.5,368741.0
761,5261,790009948,790001242,2017,56.44,47.76,100.89,16.41,114.84,28718.0
762,5262,800000143,800000028,2017,160.73000000000002,145.57,327.93,185.27,377.84,154823.0
763,5263,800000192,800000044,2017,95.7,162.41,169.45,201.82,228.84000000000003,77955.0
764,5264,800000226,800000069,2017,53.76,43.17,86.1,46.96,141.88,48286.0
765,5265,800000390,800000085,2017,38.3,49.09,64.24000000000001,69.7,74.87,50977.0
766,5266,800000432,800000093,2017,35.89,38.0,80.55,59.33,89.34,58512.0
767,5267,800002503,800001141,2017,38.39,26.73,62.6,16.0,40.31,28967.0
768,5268,800006124,800000044,2017,877.49,545.12,1367.09,928.75,1221.78,697437.0
769,5269,800009466,800002982,2017,51.0,38.98,80.67999999999999,26.18,46.18,15340.0
770,5270,800009920,800003071,2017,125.74,63.01,126.77,14.31,171.09,25598.0
771,5271,800013179,800013138,2017,121.69,13.86,27.8,7.8,21.14,15226.0
772,5273,810000224,810000471,2017,88.21,43.46,228.37,21.9,212.76,62114.0
773,5274,810000505,810000331,2017,130.91,141.33,315.54,145.34,328.77000000000004,163799.0
774,5275,810000521,810000380,2017,169.87,171.41,373.33,218.85,418.99,193682.0
775,5276,810000562,810000455,2017,62.78,82.3,271.48,157.38,274.1,68071.0
776,5277,810101170,810101162,2017,40.67,26.39,66.79,8.69,83.08,10602.0
777,5279,820000032,820000016,2017,162.88,161.66,477.57,254.79,498.0,172826.0
778,5280,820000040,820000081,2017,47.330000000000005,20.18,50.85,11.57,68.72,11399.0
779,5281,820000057,820000131,2017,108.89,44.84,184.54,29.03,209.4,54892.0
780,5282,820000065,820000156,2017,41.53,9.7,14.61,1.0,5.6,8246.0
781,5283,820000883,820004950,2017,23.94,44.67,75.28,63.870000000000005,71.61,68843.0
782,5284,830000279,830100517,2017,54.34,69.79,148.92,76.06,210.97,35841.0
783,5285,830000287,830100525,2017,114.64,149.7,302.83,175.22,381.07,146273.0
784,5287,830000311,830100566,2017,162.98,199.34,417.41,210.32,415.97,185297.0
785,5288,830000337,830100590,2017,28.630000000000003,33.61,55.3,27.63,90.24,30876.0
786,5289,830000345,830100616,2017,349.2,387.47,873.43,511.66,849.45,331583.0
787,5290,830100103,830000022,2017,68.35,41.46,117.59,28.62,90.63,31517.0
788,5291,830100251,830000063,2017,56.06,24.57,51.03,10.02,48.95,13852.0
789,5292,830100319,830020855,2017,84.08999999999999,33.79,139.32,10.34,80.5,16999.0
790,5294,830100368,830000147,2017,33.22,8.97,31.22,3.7,35.010000000000005,6649.0
791,5295,830100392,830000154,2017,52.29,27.58,70.4,12.16,73.1,13689.0
792,5296,830100434,830000196,2017,100.0,62.27,109.59,30.73,149.78,32048.0
793,5297,830100459,830000212,2017,100.91,26.77,54.14,7.35,42.29,15561.0
794,5298,830100475,830000238,2017,58.32000000000001,10.95,43.010000000000005,7.98,35.27,6786.0
795,5299,830100558,690781810,2017,32.239999999999995,48.06,142.81,92.88,181.26,27367.0
796,5300,830100574,750821092,2017,190.53,205.18,375.86,188.55,348.92,213032.0
797,5301,830100608,830100616,2017,45.16,33.72,202.91,68.47,230.97,46568.0
798,5302,830100855,830000493,2017,15.39,19.02,30.58,10.37,64.74,940.0
799,5303,830200523,830210084,2017,27.13,31.27,70.2,12.8,47.45,76831.0
800,5304,840000285,840000608,2017,62.18,19.75,53.01,7.05,80.81,12250.0
801,5305,840000327,840000640,2017,9.47,8.31,17.34,3.45,18.81,2459.0
802,5306,840000343,840000012,2017,28.67,30.66,64.75,44.7,85.52,31156.0
803,5307,840000350,840000657,2017,52.76,91.65,62.82,106.01,90.79,209895.0
804,5308,840000392,840000046,2017,42.23,53.15,93.74,61.58,161.18,53573.0
805,5309,840000400,840000673,2017,40.39,17.5,43.4,12.4,30.7,8580.0
806,5310,840000418,840004659,2017,41.9,59.61,84.88000000000001,73.89,114.04,54478.0
807,5312,840000483,840000087,2017,68.21000000000001,80.87,158.67999999999998,101.84,243.53,70732.0
808,5313,840000491,130041916,2017,24.53,23.12,60.97,35.33,160.56,47480.0
809,5315,840001861,840006597,2017,335.29,338.71,868.29,484.23,1060.17,390182.0
810,5316,840013312,840003685,2017,42.67,33.71,77.34,15.65,65.71,11321.0
811,5317,840013445,840014658,2017,51.6,12.75,42.82,7.959999999999999,41.13,19471.0
812,5318,840017172,840017164,2017,46.27,17.1,56.5,12.5,40.6,10028.0
813,5319,850000118,850013244,2017,67.09,27.13,110.3,7.21,89.87,35843.0
814,5320,850000126,850022948,2017,25.47,15.96,53.15,13.84,40.0,9390.0
815,5321,850000134,850013269,2017,28.48,18.35,61.27,3.5,31.31,9652.0
816,5322,850000142,850000019,2017,346.28,323.16,891.39,459.5,923.86,376843.0
817,5323,850000175,850009010,2017,73.52,113.96,237.22,151.1,255.76,96112.0
818,5324,850000209,850000019,2017,36.31,39.12,103.07,108.5,169.28,45205.0
819,5325,850000225,850000019,2017,16.71,21.9,51.26,34.86,93.2,21685.0
820,5326,850000241,850000084,2017,69.19,82.34,159.77,95.19,191.1,87955.0
821,5327,850009630,850000035,2017,39.2,52.11,102.29,86.12,154.32,40453.0
822,5330,860000058,860014208,2017,22.08,28.69,78.24,39.18,98.26,40788.0
823,5331,860000223,860014208,2017,951.02,523.1,1506.2,1110.8,1631.15,638467.0
824,5332,860010321,860010313,2017,99.87,51.59,131.24,19.7,93.86,35951.0
825,5333,860780311,860010750,2017,28.59,20.6,36.0,6.0,41.41,9588.0
826,5334,860780568,860000140,2017,34.53,15.79,24.59,3.8,45.76,7156.0
827,5335,870000064,870000015,2017,631.56,494.44,1119.26,1070.49,1103.51,533821.0
828,5336,870000098,870000023,2017,61.31,65.72,119.74,90.15,144.75,75513.0
829,5337,870000270,870000031,2017,42.2,39.01,77.66,55.61,129.25,71464.0
830,5338,870000288,870017415,2017,141.64,94.65,303.42,41.67,172.16,65524.0
831,5339,870000411,870017415,2017,69.91,16.25,87.9,4.67,90.56,11966.0
832,5340,870014859,870000015,2017,91.53,48.27,220.42,58.940000000000005,297.31,180636.0
833,5341,880000021,880007059,2017,138.0,170.75,340.5,159.39999999999998,327.75,162299.0
834,5343,880000054,880007299,2017,63.7,87.06,161.52,100.18,236.16000000000005,80861.0
835,5344,880000062,880780093,2017,99.54,96.76,209.81,119.04,242.43,140013.0
836,5345,880788591,880780150,2017,58.22,47.66,140.81,44.94,152.35,36475.0
837,5346,890000169,890000151,2017,35.169999999999995,24.12,45.120000000000005,13.9,45.16,14226.0
838,5347,890002389,890000730,2017,36.76,25.64,69.85,7.32,70.0,25728.0
839,5348,890975527,890000037,2017,165.78,196.57,534.17,263.79,618.25,256577.0
840,5349,890975535,890000409,2017,18.01,35.23,58.61,33.82,83.58,28375.0
841,5350,890975543,890000417,2017,28.85,48.87,83.67,74.02000000000001,93.54,28718.0
842,5351,890975550,890970569,2017,124.21,160.61,308.78000000000003,207.92,322.78,172772.0
843,5352,890975568,890000433,2017,20.32,45.94,63.58,74.34,116.74,22899.0
844,5355,910000272,910110014,2017,93.18,74.58,190.18,95.94,229.89,112127.0
845,5356,910000280,910019447,2017,45.24000000000001,48.26,99.18,79.11,117.99,66900.0
846,5357,910000298,910110055,2017,191.88,190.51,347.03,224.24,369.95,184002.0
847,5358,910000306,910110063,2017,97.72,105.64,231.81000000000003,128.42,223.98,97150.0
848,5359,910001973,910019447,2017,86.77,75.02,156.44,72.38,219.39,77708.0
849,5360,910018423,910110055,2017,40.120000000000005,21.15,76.49000000000001,26.1,92.28,43188.0
850,5361,910020254,910002773,2017,437.12,375.09,1038.77,448.39,1092.46,343457.0
851,5362,910100015,750712184,2017,24.08,48.74,109.01,101.15,404.3,4715.0
852,5363,910100023,750712184,2017,45.89,84.77,153.8,166.01,546.52,8266.0
853,5364,910150028,750811184,2017,69.47000000000001,94.36,213.14,99.16,228.90000000000003,43149.0
854,5365,910150069,910000033,2017,27.51,40.59,69.67,39.44,155.64999999999998,4687.0
855,5366,910300011,910000348,2017,40.78,18.75,26.98,3.0,25.69,12893.0
